score_decile	observations	reads	alpha_min	alpha_median	alpha_max	mean_6ma	positive_fraction	std_6ma
1	675883	746	2.21875	37.25	42.5	0.09217621094830762	0.04736174752139054	0.18220554161217836
2	675883	735	42.5	46.0	48.75	0.07713448150881884	0.04376053251820212	0.17905291766992476
3	675883	743	48.75	51.0	52.25	0.07365846441802797	0.043060707252586615	0.17803716540403586
4	675883	743	52.25	54.5	56.0	0.06892223822854696	0.04057211085350571	0.174342976703382
5	675883	742	56.0	57.5	60.5	0.06538939443383693	0.0384223304921118	0.16981471032987264
6	675882	732	60.5	62.25	63.75	0.06146660493251781	0.03603143744026324	0.1655629538957686
7	675883	725	63.75	66.0	68.5	0.05931956268226157	0.03620301146796117	0.1658814794472391
8	675883	712	68.5	72.0	76.5	0.058744750385791626	0.037095177715669725	0.1679727375643869
9	675883	698	76.5	83.5	98.5	0.06274498912441206	0.04138438161634484	0.17624393834672059
10	675883	622	98.5	166.0	5408.0	0.12146791331672789	0.0965773662009549	0.25420990004844524
