sample	c_quantile	n	mean	q25	median	q75
h3k27ac	1	11998	0.10684600472450256	0.0	0.0	0.07123158499598503
h3k27ac	2	11910	0.08322513103485107	0.0	0.0	0.0707706119865179
h3k27ac	3	12088	0.05525447800755501	0.0	0.0	0.05398908630013466
h3k27ac	4	12004	0.047331951558589935	0.0	0.0	0.0492035411298275
h3k27ac	5	11712	0.039656221866607666	0.0	0.0	0.043437499552965164
h3k27ac	6	12076	0.0398331917822361	0.0	0.0	0.04418149124830961
h3k27ac	7	12207	0.036938589066267014	0.0	0.0	0.041428569704294205
h3k27ac	8	11978	0.03544892743229866	0.0	0.0	0.036615386605262756
h3k27ac	9	11849	0.032700907438993454	0.0	0.0	0.03480000048875809
h3k27ac	10	12178	0.028805529698729515	0.0	0.0	0.02841582614928484
h3k27me3	1	20704	0.18564309179782867	0.0	0.07379703596234322	0.23480308800935745
h3k27me3	2	3268	0.3353717625141144	0.038660818710923195	0.15996268391609192	0.42830346524715424
h3k27me3	3	11683	0.18740922212600708	0.0	0.0908396914601326	0.2510109543800354
h3k27me3	4	12144	0.1525336354970932	0.0	0.06856934726238251	0.20950403437018394
h3k27me3	5	12201	0.13550019264221191	0.0	0.05495327338576317	0.18739131093025208
h3k27me3	6	12000	0.11321955174207687	0.0	0.042396118864417076	0.15439946576952934
h3k27me3	7	11998	0.09118619561195374	0.0	0.02638222463428974	0.12282931618392467
h3k27me3	8	12001	0.07318985462188721	0.0	0.0	0.0941525399684906
h3k27me3	9	12001	0.052235428243875504	0.0	0.0	0.05949999764561653
h3k27me3	10	12000	0.03583638370037079	0.0	0.0	0.039574905298650265
h3k4me3	1	19922	0.15148228406906128	0.0	0.0	0.09229584038257599
h3k4me3	2	4077	0.2856613099575043	0.0	0.03578231483697891	0.17327585816383362
h3k4me3	3	11548	0.08232749253511429	0.0	0.0	0.0833437517285347
h3k4me3	4	12453	0.057632625102996826	0.0	0.0	0.06785714626312256
h3k4me3	5	11997	0.05300727114081383	0.0	0.0	0.06188118830323219
h3k4me3	6	12003	0.046570077538490295	0.0	0.0	0.05558333545923233
h3k4me3	7	11999	0.04023878648877144	0.0	0.0	0.04716981202363968
h3k4me3	8	11975	0.036242175847291946	0.0	0.0	0.0434710755944252
h3k4me3	9	12026	0.03254776448011398	0.0	0.0	0.040265489369630814
h3k4me3	10	12000	0.029736952856183052	0.0	0.0	0.03594827651977539
